time_sec,local_time,bow_range_m,source,note,model_bow_range_m,residual_m
267,03:57:27,2720,figure 13,Figure timestamp adopted; nearby prose timestamps sometimes differ by 2-5s.,2664.93,-55.07
367,03:59:07,1510,figure 15,Figure timestamp adopted; nearby prose timestamps sometimes differ by 2-5s.,1463.38,-46.62
417,03:59:57,875,figure 16,Figure timestamp adopted; nearby prose timestamps sometimes differ by 2-5s.,852.57,-22.43
447,04:00:27,500,figure 17,Figure timestamp adopted; nearby prose timestamps sometimes differ by 2-5s.,485.15,-14.85
467,04:00:47,250,figure 18,Figure timestamp adopted; nearby prose timestamps sometimes differ by 2-5s.,243.78,-6.22
